ENS,Nt,Ns,beta,f_bare mass,as_bare mass,Lambda_N_source,Lambda_N_sink,Lambda_ti,Lambda_tf,Sigma_N_source,Sigma_N_sink,Sigma_ti,Sigma_tf,SigmaS_N_source,SigmaS_N_sink,SigmaS_ti,SigmaS_tf
QB4,60,48,8.0,-0.66,-0.81,50,0,19,30,50,0,20,30,50,0,20,30
QB4,60,48,8.0,-0.68,-0.81,50,0,19,27,50,0,20,27,50,0,20,30
QB4,60,48,8.0,-0.69,-0.81,50,0,17,27,50,0,19,27,50,0,20,30
QB4,60,48,8.0,-0.7,-0.81,50,0,16,27,50,0,17,25,50,0,19,27
QB4,60,48,8.0,-0.62,-0.82,60,0,20,30,60,0,20,30,60,0,19,30
QB4,60,48,8.0,-0.64,-0.82,60,0,20,30,60,0,20,30,60,0,19,30
QB4,60,48,8.0,-0.68,-0.82,60,0,19,27,60,0,19,27,60,0,19,30
QB4,60,48,8.0,-0.7,-0.82,50,0,16,27,50,0,17,25,50,0,19,27
QB4,60,48,8.0,-0.62,-0.84,60,0,20,30,60,0,20,30,60,0,19,30
QB4,60,48,8.0,-0.64,-0.84,60,0,20,30,60,0,20,30,60,0,19,30
QB4,60,48,8.0,-0.68,-0.84,60,0,19,27,60,0,19,27,60,0,19,30
QB4,60,48,8.0,-0.7,-0.84,50,0,16,27,50,0,17,25,50,0,19,27
QB4,60,48,8.0,-0.64,-0.91,60,0,20,30,60,0,20,29,60,0,22,30
QB4,60,48,8.0,-0.66,-0.91,100,0,19,29,100,0,20,29,100,0,19,30
QB4,60,48,8.0,-0.64,-0.93,60,0,20,30,60,0,20,29,60,0,22,30
QB4,60,48,8.0,-0.66,-0.93,100,0,19,29,100,0,20,29,100,0,19,30
QB4,60,48,8.0,-0.64,-0.95,60,0,20,26,60,0,20,29,60,0,22,26
QB4,60,48,8.0,-0.66,-0.95,100,0,20,28,100,0,20,29,100,0,19,30
QB4,60,48,8.0,-0.66,-0.99,50,0,18,29,50,0,20,30,50,0,18,27
QB4,60,48,8.0,-0.68,-0.99,50,0,18,29,50,0,20,30,50,0,18,27
QB4,60,48,8.0,-0.66,-1.01,50,0,17,30,50,0,20,30,50,0,18,26
QB4,60,48,8.0,-0.68,-1.01,50,0,17,30,50,0,20,30,50,0,18,26
QB4,60,48,8.0,-0.66,-1.015,50,0,18,29,50,0,21,30,50,0,18,26
QB4,60,48,8.0,-0.67,-1.015,50,0,18,29,50,0,21,30,50,0,19,26
QB4,60,48,8.0,-0.68,-1.015,50,0,18,29,50,0,21,30,50,0,17,26
QB4,60,48,8.0,-0.69,-1.015,50,0,18,29,50,0,21,30,50,0,18,25
QB5,60,48,8.2,-0.62,-0.95,50,20,20,30,50,20,20,30,50,0,21,30
QB5,60,48,8.2,-0.64,-0.95,50,20,20,30,50,20,20,29,50,0,21,30
QB5,60,48,8.2,-0.646,-0.95,50,20,20,30,50,20,20,29,50,0,21,30
QB5,60,48,8.2,-0.62,-0.956,50,20,20,30,50,20,20,29,50,0,21,30
QB5,60,48,8.2,-0.64,-0.956,50,20,20,30,50,20,20,29,50,0,21,30
QB5,60,48,8.2,-0.646,-0.956,50,20,20,30,50,20,20,29,50,0,21,30
QB5,60,48,8.2,-0.62,-0.961,50,0,22,30,50,0,23,29,50,0,21,30
QB5,60,48,8.2,-0.64,-0.961,50,0,22,30,50,0,23,29,50,0,21,30
QB5,60,48,8.2,-0.646,-0.961,50,0,22,30,50,0,23,29,50,0,21,30
